username,question_id,answer_value,timestamp
test_user,test_q1,"A",2025-09-30T01:12:41.000Z
test_user,test_q2,"C",2025-09-30T00:23:46.000Z
teacher_man,U1-L3-Q01,"A",2025-09-30T00:24:17.000Z
Apricot_Fox,U1-L3-Q01,"E",2025-09-12T09:40:56.000Z
Apricot_Fox,U1-L3-Q02,"B",2025-09-12T09:40:59.000Z
Apricot_Fox,U1-L3-Q03,"E",2025-09-12T09:41:05.000Z
Apricot_Fox,U1-L4-Q01,"C",2025-09-15T09:30:08.000Z
Apricot_Fox,U1-L4-Q02,"D",2025-09-15T09:30:11.000Z
Apricot_Fox,U1-L4-Q03,"A",2025-09-15T09:30:13.000Z
Apricot_Fox,U1-L4-Q04,"B",2025-09-15T09:30:15.000Z
Apricot_Fox,U1-L4-Q05,"A",2025-09-15T09:30:17.000Z
Apricot_Fox,U1-L4-Q06,"D",2025-09-15T09:30:20.000Z
Apricot_Dog,U1-L3-Q01,"E",2025-09-12T09:33:32.000Z
Apricot_Dog,U1-L3-Q02,"B",2025-09-12T09:35:50.000Z
Apricot_Dog,U1-L3-Q03,"E",2025-09-12T09:37:39.000Z
Apricot_Dog,U1-L4-Q01,"C",2025-09-15T09:13:52.000Z
Apricot_Dog,U1-L4-Q03,"A",2025-09-15T09:22:26.000Z
Apricot_Dog,U1-L4-Q04,"B",2025-09-15T09:24:38.000Z
Apricot_Dog,U1-L4-Q05,"E",2025-09-15T09:35:09.000Z
Apricot_Dog,U1-L4-Q02,"D",2025-09-15T09:35:23.000Z
Apricot_Dog,U1-L4-Q06,"D",2025-09-15T09:37:16.000Z
Apricot_Dog,U1-L2-Q01,"B",2025-09-15T15:52:58.000Z
Apricot_Dog,U1-L2-Q02,"E",2025-09-15T15:53:12.000Z
Apricot_Dog,U1-L2-Q03,"B",2025-09-15T15:53:20.000Z
Banana_Goat,U1-L3-Q01,"E",2025-09-12T13:46:36.000Z
Banana_Goat,U1-L3-Q02,"B",2025-09-12T13:49:13.000Z
Banana_Goat,U1-L3-Q03,"E",2025-09-12T13:51:07.000Z
Apple_Monkey,U2-L2-Q01,"E",2025-09-12T09:31:35.000Z
Apple_Monkey,U1-L2-Q01,"B",2025-09-12T09:33:43.000Z
Apple_Monkey,U1-L2-Q02,"E",2025-09-12T09:34:00.000Z
Apple_Monkey,U1-L2-Q03,"B",2025-09-12T09:34:12.000Z
Apple_Monkey,U1-L3-Q03,"E",2025-09-12T09:36:28.000Z
Apple_Monkey,U1-L3-Q01,"E",2025-09-12T09:36:44.000Z
Apple_Monkey,U1-L3-Q02,"B",2025-09-12T09:36:52.000Z
Apple_Monkey,U1-L4-Q01,"C",2025-09-13T21:45:04.000Z
Apple_Monkey,U1-L4-Q02,"E",2025-09-13T22:16:04.000Z
Apple_Monkey,U1-L4-Q03,"A",2025-09-13T22:16:10.000Z
Apple_Monkey,U1-L4-Q04,"B",2025-09-13T22:16:21.000Z
